BALANZA COMERCIAL Y BALANZA DE PAGOS (1) (2) (3);;;;;;;;;;;;;;
(Millones de dólares fob);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Exportaciones;;Importaciones;;Saldo de la Balanza Comercial;;Saldo de la Balanza de Pagos;;;;;;
Año;Mes;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;;;;;
;;;;;;;;;;;;;;
;Octubre;7.368;64.390;7.866;62.579;-497;1.810;-1.038;-3.009;;;;;
;Noviembre;6.546;70.936;6.222;68.801;324;2.135;783;-2.227;;;;;
;Diciembre;7.127;78.063;6.653;75.455;474;2.608;1.860;-367;;;;;
2013;Enero;6.822;6.822;6.643;6.643;179;179;-1.699;-1.699;;;;;
;Febrero;5.576;12.398;5.786;12.429;-210;-31;-200;-1.899;;;;;
;Marzo;6.189;18.586;5.696;18.125;492;461;665;-1.234;;;;;
;Abril;6.773;25.359;6.397;24.523;376;837;1.177;-57;;;;;
;Mayo;7.021;32.380;6.687;31.210;334;1.171;-566;-623;;;;;
;Junio;6.349;38.729;5.771;36.981;578;1.748;1.161;538;;;;;
;Julio;6.429;45.158;6.562;43.542;-133;1.615;-1.128;-589;;;;;
;Agosto;6.421;51.579;6.727;50.270;-306;1.309;791;202;;;;;
;Septiembre;5.841;57.419;5.824;56.093;17;1.326;1.101;1.303;;;;;
;Octubre;6.987;64.407;6.695;62.788;293;1.619;-1.648;-345;;;;;
;Noviembre;6.068;70.475;6.032;68.820;36;1.655;-603;-949;;;;;
;Diciembre;6.295;76.770;5.934;74.755;361;2.015;1.260;311;;;;;
2014;Enero;5.491;5.491;6.082;6.082;-591;-591;-856;-856;;;;;
;Febrero;6.189;11.679;5.398;11.480;790;199;-227;-1.083;;;;;
;Marzo;7.292;18.972;5.651;17.132;1.641;1.840;949;-134;;;;;
;Abril;6.670;25.642;5.832;22.964;838;2.678;-796;-931;;;;;
;Mayo;6.906;32.548;5.441;28.405;1.465;4.143;661;-270;;;;;
;Junio;6.125;38.674;5.683;34.088;442;4.586;25;-245;;;;;
;Julio;6.258;44.931;6.083;40.171;175;4.761;-407;-651;;;;;
;Agosto;5.858;50.789;5.643;45.814;215;4.976;35;-616;;;;;
;Septiembre;5.776;56.565;5.441;51.255;335;5.311;551;-65;;;;;
;Octubre ;6.073;62.639;5.774;57.029;299;5.610;-435;-500;;;;;
;Noviembre;5.588;68.227;5.337;62.366;251;5.861;543;43;;;;;
;Diciembre ;6.838;75.065;6.233;68.599;605;6.466;1.014;1.057;;;;;
2015;Enero ;5.980;5.980;5.041;5.041;939;939;485;485;;;;;
;Febrero ;5.122;11.102;4.501;9.542;621;1.560;-1.882;-1.397;;;;;
;Marzo ;6.002;17.104;5.135;14.678;866;2.427;792;-605;;;;;
;Abril ;5.801;22.906;4.746;19.423;1.056;3.482;10;-595;;;;;
;Mayo ;4.988;27.893;4.271;23.694;717;4.199;264;-330;;;;;
;Junio ;5.298;33.191;4.733;28.428;565;4.764;-564;-894;;;;;
;Julio;4.939;38.131;5.325;33.752;-385;4.378;320;-574;;;;;
;Agosto ;4.655;42.786;5.024;38.777;-369;4.009;216;-358;;;;;
;Septiembre ;4.641;47.427;5.041;43.818;-400;3.609;-166;-524;;;;;
;Octubre ;4.703;52.130;5.144;48.961;-441;3.168;434;-90;;;;;
;Noviembre ;4.800;56.930;4.540;53.502;260;3.428;193;103;;;;;
;Diciembre ;5.105;62.035;5.107;58.609;-2;3.426;108;211;;;;;
2016;Enero ;5.099;5.099;4.258;4.258;842;842;-354;-354;;;;;
;Febrero ;4.802;9.901;4.024;8.282;777;1.619;-280;-634;;;;;
;Marzo ;5.170;15.071;4.734;13.016;435;2.054;771;137;;;;;
