"DTI_CL_ANO","Year","DTI_CL_T064CAT_MINERAS","Mining category","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2004","2004","T064002","Medium-scale Mining","T065001","Copper",362460,,
"2004","2004","T064002","Medium-scale Mining","T065003","Gold",18.31,,
"2004","2004","T064002","Medium-scale Mining","T065004","Silver",396.46,,
"2004","2004","T064002","Medium-scale Mining","T065006","Manganese",16767,,
"2004","2004","T064002","Medium-scale Mining","T065007","Lead",2286,,
"2004","2004","T064002","Medium-scale Mining","T065008","Zinc",27635,,
"2004","2004","T064003","Small-scale mining","T065001","Copper",58941,,
"2004","2004","T064003","Small-scale mining","T065003","Gold",2.2,,
"2004","2004","T064003","Small-scale mining","T065004","Silver",39.74,,
"2004","2004","T064003","Small-scale mining","T065006","Manganese",9034,,
"2005","2005","T064001","Large-scale mining","T065001","Copper",4997399,,
"2005","2005","T064001","Large-scale mining","T065002","Molybdenum",41883,,
"2005","2005","T064001","Large-scale mining","T065003","Gold",29.02,,
"2005","2005","T064001","Large-scale mining","T065004","Silver",1302.06,,
"2005","2005","T064001","Large-scale mining","T065005","Iron",8003491,,
"2005","2005","T064002","Medium-scale Mining","T065001","Copper",362460,,
"2005","2005","T064002","Medium-scale Mining","T065003","Gold",18.31,,
"2005","2005","T064002","Medium-scale Mining","T065004","Silver",396.46,,
"2005","2005","T064002","Medium-scale Mining","T065007","Lead",2286,,
"2005","2005","T064002","Medium-scale Mining","T065008","Zinc",27635,,
"2006","2006","T064001","Large-scale mining","T065001","Copper",5037572,,
"2006","2006","T064001","Large-scale mining","T065002","Molybdenum",43158,,
"2006","2006","T064001","Large-scale mining","T065003","Gold",23.58,,
"2006","2006","T064001","Large-scale mining","T065004","Silver",1159.16,,
"2006","2006","T064001","Large-scale mining","T065005","Iron",5234651,,
"2006","2006","T064002","Medium-scale Mining","T065001","Copper",288390,,
"2006","2006","T064002","Medium-scale Mining","T065003","Gold",16.69,,
"2006","2006","T064002","Medium-scale Mining","T065004","Silver",413.21,,
"2006","2006","T064002","Medium-scale Mining","T065006","Manganese",3669,,
