"DTI_CL_ANO","Year","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"1999","1999","T065011","Calcium Carbonate",5617612,,
"1999","1999","T065012","Sodium chloride",6074426,,
"1999","1999","T065014","Boron compounds",328855,,
"1999","1999","T065015","Lithium compounds",30392,,
"1999","1999","T065016","Potassium compounds",745108,,
"1999","1999","T065017","Diatomite",14477,,
"1999","1999","T065018","Dolomite",20016,,
"1999","1999","T065019","Feldspar",1346,,
"1999","1999","T065020","Nitrates",916200,,
"1999","1999","T065022","Pyrophyllite",1606,,
"1999","1999","T065023","Pumicite",957536,,
"1999","1999","T065024","Silicon resources",576645,,
"1999","1999","T065025","Phosphoric rocks",20408,,
"1999","1999","T065026","Ornamental rocks",828,,
"1999","1999","T065028","Sodium sulfate",58026,,
"1999","1999","T065029","Talc",625,,
"1999","1999","T065031","Plaster",886294,,
"1999","1999","T065032","Iodine",9317,,
"2000","2000","T065009","Clays",31146,,
"2000","2000","T065010","Baryte",1026,,
"2000","2000","T065011","Calcium Carbonate",5395215,,
"2000","2000","T065012","Sodium chloride",5082911,,
"2000","2000","T065014","Boron compounds",347797,,
"2000","2000","T065015","Lithium compounds",35869,,
"2000","2000","T065016","Potassium compounds",790587,,
"2000","2000","T065017","Diatomite",14892,,
"2000","2000","T065018","Dolomite",12506,,
"2000","2000","T065019","Feldspar",2311,,
"2000","2000","T065020","Nitrates",988410,,
"2000","2000","T065022","Pyrophyllite",1845,,
"2000","2000","T065023","Pumicite",829563,,
"2000","2000","T065024","Silicon resources",575957,,
"2000","2000","T065025","Phosphoric rocks",18524,,
"2000","2000","T065026","Ornamental rocks",812,,
"2000","2000","T065028","Sodium sulfate",56501,,
"2000","2000","T065029","Talc",576,,
"2000","2000","T065031","Plaster",375847,,
"2000","2000","T065032","Iodine",10474,,
"2001","2001","T065009","Clays",35325,,
"2001","2001","T065010","Baryte",219,,
"2001","2001","T065011","Calcium Carbonate",5526460,,
"2001","2001","T065012","Sodium chloride",5989416,,
"2001","2001","T065014","Boron compounds",337387,,
"2001","2001","T065015","Lithium compounds",31320,,
"2001","2001","T065016","Potassium compounds",918257,,
"2001","2001","T065017","Diatomite",15408,,
"2001","2001","T065018","Dolomite",29940,,
"2001","2001","T065019","Feldspar",2867,,
"2001","2001","T065020","Nitrates",1072273,,
"2001","2001","T065022","Pyrophyllite",3385,,
"2001","2001","T065023","Pumicite",784911,,
"2001","2001","T065024","Silicon resources",538116,,
"2001","2001","T065025","Phosphoric rocks",18977,,
"2001","2001","T065026","Ornamental rocks",782,,
"2001","2001","T065028","Sodium sulfate",67760,,
"2001","2001","T065029","Talc",792,,
"2001","2001","T065031","Plaster",516876,,
"2001","2001","T065032","Iodine",11355,,
"2002","2002","T065009","Clays",41887,,
"2002","2002","T065010","Baryte",384,,
"2002","2002","T065011","Calcium Carbonate",5887695,,
"2002","2002","T065012","Sodium chloride",3502613,,
"2002","2002","T065014","Boron compounds",440293,,
"2002","2002","T065015","Lithium compounds",35242,,
"2002","2002","T065016","Potassium compounds",943808,,
"2002","2002","T065017","Diatomite",16380,,
"2002","2002","T065018","Dolomite",31439,,
"2002","2002","T065019","Feldspar",3069,,
"2002","2002","T065020","Nitrates",1174232,,
"2002","2002","T065022","Pyrophyllite",2974,,
"2002","2002","T065023","Pumicite",826407,,
"2002","2002","T065024","Silicon resources",879301,,
"2002","2002","T065025","Phosphoric rocks",19541,,
"2002","2002","T065026","Ornamental rocks",633,,
"2002","2002","T065028","Sodium sulfate",70776,,
"2002","2002","T065029","Talc",563,,
"2002","2002","T065031","Plaster",609550,,
"2002","2002","T065032","Iodine",11648,,
"2002","2002","T065033","Zeolites",839,,
"2003","2003","T065009","Clays",61410,,
"2003","2003","T065010","Baryte",229,,
"2003","2003","T065011","Calcium Carbonate",5905502,,
"2003","2003","T065012","Sodium chloride",6213473,,
"2003","2003","T065014","Boron compounds",409293,,
"2003","2003","T065015","Lithium compounds",41667,,
"2003","2003","T065016","Potassium compounds",921239,,
"2003","2003","T065017","Diatomite",15775,,
"2003","2003","T065018","Dolomite",17308,,
"2003","2003","T065019","Feldspar",6690,,
"2003","2003","T065020","Nitrates",1133921,,
"2003","2003","T065022","Pyrophyllite",3534,,
"2003","2003","T065023","Pumicite",1242094,,
"2003","2003","T065024","Silicon resources",915769,,
"2003","2003","T065025","Phosphoric rocks",21300,,
"2003","2003","T065026","Ornamental rocks",957,,
"2003","2003","T065028","Sodium sulfate",44011,,
